related_products,descriptions,product group 
 SAP in Azure,"SAP in Azure enables running SAP applications in Microsoft Azure for scalability, flexibility, and enterprise-grade security.",SAP on Azure
 SAP on Azure,"SAP on Azure provides infrastructure and services to deploy, integrate, and manage SAP solutions on Microsoft Azure cloud.",SAP on Azure
 SQL Server,SQL Server is a relational database management system developed by Microsoft for storing and retrieving data as requested by other software.,SQL Server
 SharePoint,"SharePoint is a web-based collaboration platform that integrates with Microsoft 365 to manage documents, workflows, and content.",SharePoint
 SharePoint Online,"SharePoint Online is a cloud-based version of SharePoint that enables document management, collaboration, and intranet capabilities.",SharePoint
 Surface,"Surface is a line of Microsoft-designed hardware products including tablets, laptops, and 2-in-1 devices optimized for Windows.",Microsoft Surface
 Surface Laptop,Surface Laptop is a lightweight and premium laptop from Microsoft’s Surface line designed for performance and productivity.,Microsoft Surface
 Surface Pen,Surface Pen is a digital stylus that provides precision input and drawing capabilities on Surface devices.,Microsoft Surface
 Visual Studio,"Visual Studio is an integrated development environment (IDE) from Microsoft for building, debugging, and deploying applications across platforms.",Visual Studio
 Visual Studio Code,"Visual Studio Code is a lightweight, open-source code editor with support for development in multiple programming languages and extensions.",Visual Studio
 Windows,"Windows is Microsoft’s operating system family powering personal computers, tablets, servers, and IoT devices worldwide.",Windows
 Windows 10,"Windows 10 is a version of the Windows operating system designed for performance, security, and compatibility across a wide range of devices.",Windows
 Windows 11,"Windows 11 is the latest version of Windows, offering a modern interface, productivity enhancements, and security improvements.",Windows
 Windows 365,"Windows 365 is a cloud PC service that streams a full Windows experience to any device, enabling hybrid work from anywhere.",Windows 365
 Windows 365 Link,Windows 365 Link allows integration and connectivity between Windows 365 and on-premises or cloud-based services and systems.,Windows 365
 Windows Autopilot,Windows Autopilot is a deployment and configuration tool that streamlines the setup of new Windows devices with minimal user involvement.,Windows
 Windows Hello,Windows Hello is a biometric authentication feature in Windows that enables secure login using facial recognition or fingerprint.,Windows
 Windows Server,"Windows Server is Microsoft’s operating system for enterprise-level servers, offering identity, storage, networking, and virtualization capabilities.",Windows Server
 Windows for IoT,Windows for IoT is a family of Windows editions designed for intelligent IoT devices with long-term support and device management.,Windows
 Windows\xa0Server,"Windows Server is an alternate label for Windows Server, typically used in international or translated versions.",Windows Server
 Word,"Word is a word processing application in Microsoft 365 used to create, edit, and share documents with advanced formatting and collaboration tools.",Microsoft 365
